Название                                                                                                              , Цена (₸), Категория
"Тур «Алматинское Золотое Кольцо: горы, каньоны, озера и Поющий Бархан»"                                              ,         , Туры от Melon Travel
Тур на озеро Иссык и Медвежий водопад                                                                                 ,         , Туры от Grande Voyage
Тур «Тургенский водопад»                                                                                              ,         , Туры от Blast Tour
Кемпинг на Плато Асы                                                                                                  ,         , Туры от MOCEAN Travel
Автомобильный тур «БАО – Большое Алматинское Озеро и водопад Аюсай»                                                   ,         , Туры от Melon Travel
"Тур на автомобиле «Туркестан, Отрар и Арыстан Баб за один день»"                                                     ,         , Туры от Melon Travel
Обзорная экскурсия на автомобиле «Такой разный Алматы: город и горы за 1 день»                                        ,         , Туры от Melon Travel
Тур «Петроглифы Тамгалы Тас и Город Кочевников»                                                                       ,         , Туры от Melon Travel
Индивидуальный тур «Озеро Иссык»                                                                                      ,         , Туры от Melon Travel
Летняя вечеринка Zvuk XXL                                                                                             , 7 000   , Вечеринки
Теннисный фестиваль Almaty Open ATP 250                                                                               , 0       , Спорт
Вечеринка для девушек QYZilicious                                                                                     , 10 000  , Вечеринки
Jana Tynys шоу-қойылымы                                                                                               ,         , Театры
Летняя хаус-вечеринка Voyage Pool Party                                                                               , 8 000   , Вечеринки
Импровизационное шоу «Само собой»                                                                                     , 2 000   , Stand Up
Датский техно рейв с Mama Snake                                                                                       , 8 000   , Вечеринки
Jazz picnic — Do be doo                                                                                               , 15 000  , Фестивали
Руслан Тай: Қазақша стендап-концерт (15 маусым)                                                                       , 6 000   , События в Almaty Central Stand Up Club
Концерт группы «Перемотка» в Алматы                                                                                   , 12 000  , Концерты
"Индивидуальный тур на ночь в горы с посещением озёр Кольсай и Каинды, а также Чарынского, Черного и Лунного каньонов",         , Туры от Melon Travel
Тур «Этно-тур в аул кочевников из Алматы — всё включено»                                                              ,         , Туры от Melon Travel
Обзорная пешеходная экскурсия «Туркестан: основные достопримечательности»                                             ,         , Туры от Melon Travel
Саха-казахский этнофестиваль YHYAQ                                                                                    ,         , Фестивали
Мастер-класс «Флористика. Сумочка с цветами»                                                                          ,         , Мастер-классы
Интерактивный цирк Шапито                                                                                             ,         , Мероприятия в театре La Bohême
Обзорная пешеходная экскурсия «Алматинский вайб»                                                                      ,         , Туры от Melon Travel
Мастер-класс «Три свечи»                                                                                              ,         , Мастер-классы
Мастер-класс «Гипсовые фигурки»                                                                                       ,         , Мастер-классы
Обзорная пешеходная экскурсия «Туркестан: основные достопримечательности»                                             ,         , Туры от Melon Travel
Интерактивный спектакль для самых маленьких «Академия фей и волшебников»                                              ,         , Мероприятия в театре La Bohême
Мастер-класс по рисованию «Картина маслом»                                                                            ,         , Мастер-классы
Большой летний фестиваль 2025                                                                                         ,         , Фестивали
Арома мастер класс + амулет                                                                                           ,         , Образование
"Квиз, плиз! #741"                                                                                                    ,         , Развлечения
Тур «Ночной Чарын»                                                                                                    ,         , Туры от Blast Tour
Летняя вечеринка Zvuk XXL                                                                                             , 7 000   , Вечеринки
Теннисный фестиваль Almaty Open ATP 250                                                                               , 0       , Спорт
Вечеринка для девушек QYZilicious                                                                                     , 10 000  , Вечеринки
Jana Tynys шоу-қойылымы                                                                                               ,         , Театры
Летняя хаус-вечеринка Voyage Pool Party                                                                               , 8 000   , Вечеринки
Импровизационное шоу «Само собой»                                                                                     , 2 000   , Stand Up
Датский техно рейв с Mama Snake                                                                                       , 8 000   , Вечеринки
Jazz picnic — Do be doo                                                                                               , 15 000  , Фестивали
Руслан Тай: Қазақша стендап-концерт (15 маусым)                                                                       , 6 000   , События в Almaty Central Stand Up Club
Концерт группы «Перемотка» в Алматы                                                                                   , 12 000  , Концерты
«Джазовые истории» дуэта Smoking                                                                                      ,         , Мероприятия в винном клубе Love Wine
Квартет Гочи Сирадзе – Летний джаз                                                                                    ,         , Концерты в EverJazz
Комедийное шоу «Стыдный импров» (by Stand Up Camp)                                                                    ,         , События от Stand Up Camp
Дамир Нурсеитов и Даурен Тогисов: двойной стендап-концерт (7 июня)                                                    ,         , События в Almaty Central Stand Up Club
Концерт Дастана Оразбекова                                                                                            ,         , Концерты
Стендап премьера (by Stand Up Camp)                                                                                   ,         , События от Stand Up Camp
"Кинофест Love, Death & Almaty"                                                                                       ,         , Спектакли в арт-убежище BUNKER
Стендап-концерт Weekend show (7 июня)                                                                                 ,         , События в Almaty Central Stand Up Club
Стендап шоу «Лучшие шутки» (by Stand Up Camp)                                                                         ,         , События от Stand Up Camp
Проект Di Harper – Jazzy                                                                                              ,         , Концерты в EverJazz
Выступление ACE                                                                                                       ,         , Концерты
Ночной сеанс стендапа (by Stand Up Camp)                                                                              ,         , События от Stand Up Camp
Тур «Водопад Текес и озеро Тузколь»                                                                                   ,         , Туры от Melon Travel
"Тур «Озера Каинды, Кольсай, Черный и Чарынский каньоны»"                                                             ,         , Туры от Melon Travel
"Тур «Жемчужины Тянь-Шаня: Чарын, Кольсай и Черный каньон»"                                                           ,         , Туры от MOCEAN Travel
Однодневный тур на озера Кольсай и Кайынды + Черный каньон                                                            ,         , Туры от Grande Voyage
Летняя вечеринка Zvuk XXL                                                                                             , 7 000   , Вечеринки
Теннисный фестиваль Almaty Open ATP 250                                                                               , 0       , Спорт
Вечеринка для девушек QYZilicious                                                                                     , 10 000  , Вечеринки
Jana Tynys шоу-қойылымы                                                                                               ,         , Театры
Летняя хаус-вечеринка Voyage Pool Party                                                                               , 8 000   , Вечеринки
Импровизационное шоу «Само собой»                                                                                     , 2 000   , Stand Up
Датский техно рейв с Mama Snake                                                                                       , 8 000   , Вечеринки
Jazz picnic — Do be doo                                                                                               , 15 000  , Фестивали
Руслан Тай: Қазақша стендап-концерт (15 маусым)                                                                       , 6 000   , События в Almaty Central Stand Up Club
Концерт группы «Перемотка» в Алматы                                                                                   , 12 000  , Концерты
Тур к озерам Кольсай и Кайынды + Черный каньон                                                                        ,         , Туры от Blast Tour
"Тур «Озеро Каинды, Чарынский каньон и Черный каньон»"                                                                ,         , Туры от Melon Travel
"Тур «Озеро Кольсай, Чарынский каньон и Черный каньон»"                                                               ,         , Туры от Melon Travel
Тур на внедорожниках «Алтын Эмель – Поющий Бархан»                                                                    ,         , Туры от Melon Travel
"Тур «Чарынский каньон, Черный и Лунный каньоны»"                                                                     ,         , Туры от Melon Travel
Тур «Озеро Кайынды и озеро Кольсай за 1 день»                                                                         ,         , Туры от Melon Travel
"Тур «Жаркент: Мечеть, Церковь + Святое дерево»"                                                                      ,         , Туры от Blast Tour
Тур «Жаркент + Аулие Агаш»                                                                                            ,         , Туры от Grande Voyage
Тур «Озеро Иссык и водопад Медвежий»                                                                                  ,         , Туры от Melon Travel
Тур «Национальный парк Алтын Эмель: горы Актау и Катутау»                                                             ,         , Туры от Melon Travel
Тур «Тайны Танбалы: путешествие к петроглифам ЮНЕСКО в сердце Центральной Азии»                                       ,         , Туры от Melon Travel
"Тур «Чарынский каньон, Долина замков и река Чарын»"                                                                  ,         , Туры от Melon Travel
Тур «По следам древнего океана Тетис: от меловых гор Актау и вулканов Катутау до 700-летней ивы»                      ,         , Туризм
Тур «Чарын: Долина замков + урочище Куртогай»                                                                         ,         , Туры от Blast Tour
Тур на Чарынский каньон: «Долина замков и Куртогай»                                                                   ,         , Туры от Grande Voyage
Тур на Капчагайское водохранилище                                                                                     ,         , Туры от Grande Voyage
Летняя вечеринка Zvuk XXL                                                                                             , 7 000   , Вечеринки
Теннисный фестиваль Almaty Open ATP 250                                                                               , 0       , Спорт
Вечеринка для девушек QYZilicious                                                                                     , 10 000  , Вечеринки
Jana Tynys шоу-қойылымы                                                                                               ,         , Театры
Летняя хаус-вечеринка Voyage Pool Party                                                                               , 8 000   , Вечеринки
Импровизационное шоу «Само собой»                                                                                     , 2 000   , Stand Up
Датский техно рейв с Mama Snake                                                                                       , 8 000   , Вечеринки
Jazz picnic — Do be doo                                                                                               , 15 000  , Фестивали
Руслан Тай: Қазақша стендап-концерт (15 маусым)                                                                       , 6 000   , События в Almaty Central Stand Up Club
Концерт группы «Перемотка» в Алматы                                                                                   , 12 000  , Концерты
Тур «Чарынский каньон: в Долину Замков до реки Чарын»                                                                 ,         , Туры от Melon Travel
"Тур «Капчагай. База отдыха ""Солнечный берег""»"                                                                     ,         , Туры от Blast Tour
Тур «Плато Ассы и Медвежий водопад»                                                                                   ,         , Туры от Blast Tour
Тур «Плато Ассы и водопад Медвежий в Тургене»                                                                         ,         , Туры от Grande Voyage
Тур на внедорожниках «Плато Ассы и Тургеньский (Медвежий) водопад»                                                    ,         , Туры от Melon Travel
Сити-тур по Алматы                                                                                                    ,         , Туры от MOCEAN Travel
Тур «Водопад Аюсай и горячие источники Алма Арасан»                                                                   ,         , Туры от Melon Travel
Двухдневный тур в Алтын-Эмель: от мелодий Поющего бархана до величия гор Актау и Катутау                              ,         , Туры от Melon Travel
"Тур «Алматинское Золотое Кольцо: горы, каньоны, озера и Поющий Бархан»"                                              ,         , Туры от Melon Travel
Тур на озеро Иссык и Медвежий водопад                                                                                 ,         , Туры от Grande Voyage
Тур «Тургенский водопад»                                                                                              ,         , Туры от Blast Tour
Автомобильный тур «БАО – Большое Алматинское Озеро и водопад Аюсай»                                                   ,         , Туры от Melon Travel
"Тур на автомобиле «Туркестан, Отрар и Арыстан Баб за один день»"                                                     ,         , Туры от Melon Travel
Обзорная экскурсия на автомобиле «Такой разный Алматы: город и горы за 1 день»                                        ,         , Туры от Melon Travel
Тур «Петроглифы Тамгалы Тас и Город Кочевников»                                                                       ,         , Туры от Melon Travel
Индивидуальный тур «Озеро Иссык»                                                                                      ,         , Туры от Melon Travel
Летняя вечеринка Zvuk XXL                                                                                             , 7 000   , Вечеринки
Теннисный фестиваль Almaty Open ATP 250                                                                               , 0       , Спорт
Вечеринка для девушек QYZilicious                                                                                     , 10 000  , Вечеринки
Jana Tynys шоу-қойылымы                                                                                               ,         , Театры
Летняя хаус-вечеринка Voyage Pool Party                                                                               , 8 000   , Вечеринки
Импровизационное шоу «Само собой»                                                                                     , 2 000   , Stand Up
Датский техно рейв с Mama Snake                                                                                       , 8 000   , Вечеринки
Jazz picnic — Do be doo                                                                                               , 15 000  , Фестивали
Руслан Тай: Қазақша стендап-концерт (15 маусым)                                                                       , 6 000   , События в Almaty Central Stand Up Club
Концерт группы «Перемотка» в Алматы                                                                                   , 12 000  , Концерты
"Индивидуальный тур на ночь в горы с посещением озёр Кольсай и Каинды, а также Чарынского, Черного и Лунного каньонов",         , Туры от Melon Travel
Тур «Этно-тур в аул кочевников из Алматы — всё включено»                                                              ,         , Туры от Melon Travel
Обзорная пешеходная экскурсия «Туркестан: основные достопримечательности»                                             ,         , Туры от Melon Travel
Интерактивное шоу «Веселое путешествие с пчелкой Майей»                                                               ,         , Мероприятия в театре La Bohême
Обзорная пешеходная экскурсия «Алматинский вайб»                                                                      ,         , Туры от Melon Travel
Интерактивный цирк Шапито                                                                                             ,         , Мероприятия в театре La Bohême
Обзорная пешеходная экскурсия «Туркестан: основные достопримечательности»                                             ,         , Туры от Melon Travel
Мастер-класс по созданию композиции из стабилизированных растений                                                     ,         , Мастер-классы
Джазовый бранч. Трио Ирэны Аравиной –  Джаз из Чикаго                                                                 ,         , Концерты в EverJazz
Лаборатория театрализованной читки пьесы «Птица на чердаке»                                                           ,         , Спектакли в арт-убежище BUNKER
Мастер-класс по рисованию «Картина маслом»                                                                            ,         , Мастер-классы
Вечер поэзии на крыше                                                                                                 ,         , Концерты
"Квиз, плиз! Гарри Поттер (Хогвартс) 4 курс"                                                                          ,         , Развлечения
Мастер-класс по созданию аромата для тела                                                                             ,         , Мастер-классы
Jazz-funk&soul. Камилла Азбенова и Елена Богатырёва                                                                   ,         , Мероприятия в винном клубе Love Wine
Стендап-шоу Open Mic (8 июня)                                                                                         ,         , События от Punch StandUp Club
Летняя вечеринка Zvuk XXL                                                                                             , 7 000   , Вечеринки
Теннисный фестиваль Almaty Open ATP 250                                                                               , 0       , Спорт
Вечеринка для девушек QYZilicious                                                                                     , 10 000  , Вечеринки
Jana Tynys шоу-қойылымы                                                                                               ,         , Театры
Летняя хаус-вечеринка Voyage Pool Party                                                                               , 8 000   , Вечеринки
Импровизационное шоу «Само собой»                                                                                     , 2 000   , Stand Up
Датский техно рейв с Mama Snake                                                                                       , 8 000   , Вечеринки
Jazz picnic — Do be doo                                                                                               , 15 000  , Фестивали
Руслан Тай: Қазақша стендап-концерт (15 маусым)                                                                       , 6 000   , События в Almaty Central Stand Up Club
Концерт группы «Перемотка» в Алматы                                                                                   , 12 000  , Концерты
Тройной стендап. Новые шутки (by Stand Up Camp)                                                                       ,         , События от Stand Up Camp
Группа Pronto и Ева Хилами – Disco-Jazz. Любимые хиты                                                                 ,         , Концерты в EverJazz
"Квиз, плиз! (кино и музыка) новички #19"                                                                             ,         , Развлечения
English stand up (8 June)                                                                                             ,         , Stand Up
Қазақша стендап-концерт (8 маусым)                                                                                    ,         , События в Almaty Central Stand Up Club
Концерт Mayot                                                                                                         ,         , Концерты
Театрализованная читка пьесы «Птица на чердаке»                                                                       ,         , Спектакли в арт-убежище BUNKER
Юмористическое шоу «Стендап дуэль» (by Stand Up Camp)                                                                 ,         , События от Stand Up Camp
Отчётный стендап-концерт (8 июня)                                                                                     ,         , События в Almaty Central Stand Up Club
Тур «Водопад Текес и озеро Тузколь»                                                                                   ,         , Туры от Melon Travel
"Тур «Озера Каинды, Кольсай, Черный и Чарынский каньоны»"                                                             ,         , Туры от Melon Travel
"Тур «Жемчужины Тянь-Шаня: Чарын, Кольсай и Черный каньон»"                                                           ,         , Туры от MOCEAN Travel
"Тур «Озеро Каинды, Чарынский каньон и Черный каньон»"                                                                ,         , Туры от Melon Travel
"Тур «Озеро Кольсай, Чарынский каньон и Черный каньон»"                                                               ,         , Туры от Melon Travel
Тур на внедорожниках «Алтын Эмель – Поющий Бархан»                                                                    ,         , Туры от Melon Travel
"Тур «Чарынский каньон, Черный и Лунный каньоны»"                                                                     ,         , Туры от Melon Travel
Летняя вечеринка Zvuk XXL                                                                                             , 7 000   , Вечеринки
Теннисный фестиваль Almaty Open ATP 250                                                                               , 0       , Спорт
Вечеринка для девушек QYZilicious                                                                                     , 10 000  , Вечеринки
Jana Tynys шоу-қойылымы                                                                                               ,         , Театры
Летняя хаус-вечеринка Voyage Pool Party                                                                               , 8 000   , Вечеринки
Импровизационное шоу «Само собой»                                                                                     , 2 000   , Stand Up
Датский техно рейв с Mama Snake                                                                                       , 8 000   , Вечеринки
Jazz picnic — Do be doo                                                                                               , 15 000  , Фестивали
Руслан Тай: Қазақша стендап-концерт (15 маусым)                                                                       , 6 000   , События в Almaty Central Stand Up Club
Концерт группы «Перемотка» в Алматы                                                                                   , 12 000  , Концерты
Тур «Озеро Кайынды и озеро Кольсай за 1 день»                                                                         ,         , Туры от Melon Travel
Тур «Озеро Иссык и водопад Медвежий»                                                                                  ,         , Туры от Melon Travel
Тур «Национальный парк Алтын Эмель: горы Актау и Катутау»                                                             ,         , Туры от Melon Travel
Тур «Тайны Танбалы: путешествие к петроглифам ЮНЕСКО в сердце Центральной Азии»                                       ,         , Туры от Melon Travel
"Тур «Чарынский каньон, Долина замков и река Чарын»"                                                                  ,         , Туры от Melon Travel
Тур «По следам древнего океана Тетис: от меловых гор Актау и вулканов Катутау до 700-летней ивы»                      ,         , Туризм
Тур «Чарынский каньон: в Долину Замков до реки Чарын»                                                                 ,         , Туры от Melon Travel
Тур на внедорожниках «Плато Ассы и Тургеньский (Медвежий) водопад»                                                    ,         , Туры от Melon Travel
Тур «Водопад Аюсай и горячие источники Алма Арасан»                                                                   ,         , Туры от Melon Travel
Двухдневный тур в Алтын-Эмель: от мелодий Поющего бархана до величия гор Актау и Катутау                              ,         , Туры от Melon Travel
"Тур «Алматинское Золотое Кольцо: горы, каньоны, озера и Поющий Бархан»"                                              ,         , Туры от Melon Travel
Летний городской лагерь «Wunder Почемучки: 100 секретов лета»                                                         ,         , Туризм
Автомобильный тур «БАО – Большое Алматинское Озеро и водопад Аюсай»                                                   ,         , Туры от Melon Travel
"Тур на автомобиле «Туркестан, Отрар и Арыстан Баб за один день»"                                                     ,         , Туры от Melon Travel
Обзорная экскурсия на автомобиле «Такой разный Алматы: город и горы за 1 день»                                        ,         , Туры от Melon Travel
Тур «Петроглифы Тамгалы Тас и Город Кочевников»                                                                       ,         , Туры от Melon Travel
Летняя вечеринка Zvuk XXL                                                                                             , 7 000   , Вечеринки
Теннисный фестиваль Almaty Open ATP 250                                                                               , 0       , Спорт
Вечеринка для девушек QYZilicious                                                                                     , 10 000  , Вечеринки
Jana Tynys шоу-қойылымы                                                                                               ,         , Театры
Летняя хаус-вечеринка Voyage Pool Party                                                                               , 8 000   , Вечеринки
Импровизационное шоу «Само собой»                                                                                     , 2 000   , Stand Up
Датский техно рейв с Mama Snake                                                                                       , 8 000   , Вечеринки
Jazz picnic — Do be doo                                                                                               , 15 000  , Фестивали
Руслан Тай: Қазақша стендап-концерт (15 маусым)                                                                       , 6 000   , События в Almaty Central Stand Up Club
Концерт группы «Перемотка» в Алматы                                                                                   , 12 000  , Концерты
Индивидуальный тур «Озеро Иссык»                                                                                      ,         , Туры от Melon Travel
"Индивидуальный тур на ночь в горы с посещением озёр Кольсай и Каинды, а также Чарынского, Черного и Лунного каньонов",         , Туры от Melon Travel
Тур «Этно-тур в аул кочевников из Алматы — всё включено»                                                              ,         , Туры от Melon Travel
Обзорная пешеходная экскурсия «Туркестан: основные достопримечательности»                                             ,         , Туры от Melon Travel
Обзорная пешеходная экскурсия «Алматинский вайб»                                                                      ,         , Туры от Melon Travel
Курс флористики «Базовый курс 1.0»                                                                                    ,         , Образование
Обзорная пешеходная экскурсия «Туркестан: основные достопримечательности»                                             ,         , Туры от Melon Travel
All stars jam session – Джазовая музыка и импровизация                                                                ,         , Концерты в EverJazz
Стендап – 20 комиков (by Stand Up Camp)                                                                               ,         , События от Stand Up Camp
Тур «Водопад Текес и озеро Тузколь»                                                                                   ,         , Туры от Melon Travel
"Тур «Озера Каинды, Кольсай, Черный и Чарынский каньоны»"                                                             ,         , Туры от Melon Travel
"Тур «Озера за 1 день: Кольсай, Каинды и Черный каньон»"                                                              ,         , Туры от MOCEAN Travel
"Тур «Озеро Каинды, Чарынский каньон и Черный каньон»"                                                                ,         , Туры от Melon Travel
"Тур «Озеро Кольсай, Чарынский каньон и Черный каньон»"                                                               ,         , Туры от Melon Travel
Тур на внедорожниках «Алтын Эмель – Поющий Бархан»                                                                    ,         , Туры от Melon Travel
"Тур «Чарынский каньон, Черный и Лунный каньоны»"                                                                     ,         , Туры от Melon Travel
Летняя вечеринка Zvuk XXL                                                                                             , 7 000   , Вечеринки
Теннисный фестиваль Almaty Open ATP 250                                                                               , 0       , Спорт
Вечеринка для девушек QYZilicious                                                                                     , 10 000  , Вечеринки
Jana Tynys шоу-қойылымы                                                                                               ,         , Театры
Летняя хаус-вечеринка Voyage Pool Party                                                                               , 8 000   , Вечеринки
Импровизационное шоу «Само собой»                                                                                     , 2 000   , Stand Up
Датский техно рейв с Mama Snake                                                                                       , 8 000   , Вечеринки
Jazz picnic — Do be doo                                                                                               , 15 000  , Фестивали
Руслан Тай: Қазақша стендап-концерт (15 маусым)                                                                       , 6 000   , События в Almaty Central Stand Up Club
Концерт группы «Перемотка» в Алматы                                                                                   , 12 000  , Концерты
Тур «Озеро Кайынды и озеро Кольсай за 1 день»                                                                         ,         , Туры от Melon Travel
Тур «Озеро Иссык и водопад Медвежий»                                                                                  ,         , Туры от Melon Travel
Тур «Национальный парк Алтын Эмель: горы Актау и Катутау»                                                             ,         , Туры от Melon Travel
Тур «Тайны Танбалы: путешествие к петроглифам ЮНЕСКО в сердце Центральной Азии»                                       ,         , Туры от Melon Travel
"Тур «Чарынский каньон, Долина замков и река Чарын»"                                                                  ,         , Туры от Melon Travel
Тур «По следам древнего океана Тетис: от меловых гор Актау и вулканов Катутау до 700-летней ивы»                      ,         , Туризм
Тур «Чарынский каньон: в Долину Замков до реки Чарын»                                                                 ,         , Туры от Melon Travel
Тур на внедорожниках «Плато Ассы и Тургеньский (Медвежий) водопад»                                                    ,         , Туры от Melon Travel
Сити-тур по Алматы                                                                                                    ,         , Туры от MOCEAN Travel
Тур «Водопад Аюсай и горячие источники Алма Арасан»                                                                   ,         , Туры от Melon Travel
Двухдневный тур в Алтын-Эмель: от мелодий Поющего бархана до величия гор Актау и Катутау                              ,         , Туры от Melon Travel
"Тур «Алматинское Золотое Кольцо: горы, каньоны, озера и Поющий Бархан»"                                              ,         , Туры от Melon Travel
Летний городской лагерь «Wunder Почемучки: 100 секретов лета»                                                         ,         , Туризм
